Year,Country / territory of asylum/residence,Origin,Population type,Value
2005,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),358
2005,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,5862
2005,Venezuela (Bolivarian Republic of),Colombia,Returned refugees,1
2005,Venezuela (Bolivarian Republic of),Colombia,Others of concern,200000
2005,Venezuela (Bolivarian Republic of),Congo,Refugees (incl. refugee-like situations),2
2005,Venezuela (Bolivarian Republic of),Congo,Asylum-seekers,1
2005,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Refugees (incl. refugee-like situations),1
2005,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Asylum-seekers,2
2005,Venezuela (Bolivarian Republic of),Cuba,Refugees (incl. refugee-like situations),5
2005,Venezuela (Bolivarian Republic of),Cuba,Asylum-seekers,6
2005,Venezuela (Bolivarian Republic of),Ecuador,Asylum-seekers,5
2005,Venezuela (Bolivarian Republic of),Ethiopia,Asylum-seekers,1
2005,Venezuela (Bolivarian Republic of),Guatemala,Refugees (incl. refugee-like situations),3
2005,Venezuela (Bolivarian Republic of),Haiti,Refugees (incl. refugee-like situations),11
2005,Venezuela (Bolivarian Republic of),Haiti,Asylum-seekers,3
2005,Venezuela (Bolivarian Republic of),Hungary,Refugees (incl. refugee-like situations),1
2005,Venezuela (Bolivarian Republic of),Iraq,Asylum-seekers,2
2005,Venezuela (Bolivarian Republic of),Liberia,Refugees (incl. refugee-like situations),3
2005,Venezuela (Bolivarian Republic of),Liberia,Asylum-seekers,5
2005,Venezuela (Bolivarian Republic of),Netherlands,Asylum-seekers,1
2005,Venezuela (Bolivarian Republic of),Nicaragua,Refugees (incl. refugee-like situations),4
2005,Venezuela (Bolivarian Republic of),Nigeria,Asylum-seekers,8
2005,Venezuela (Bolivarian Republic of),Peru,Refugees (incl. refugee-like situations),4
2005,Venezuela (Bolivarian Republic of),Peru,Asylum-seekers,3
2005,Venezuela (Bolivarian Republic of),Poland,Refugees (incl. refugee-like situations),3
2005,Venezuela (Bolivarian Republic of),Russian Federation,Asylum-seekers,1
2005,Venezuela (Bolivarian Republic of),Rwanda,Refugees (incl. refugee-like situations),1
2005,Venezuela (Bolivarian Republic of),Rwanda,Asylum-seekers,1
2005,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),5
2005,Venezuela (Bolivarian Republic of),Sierra Leone,Asylum-seekers,4
2005,Venezuela (Bolivarian Republic of),Somalia,Asylum-seekers,3
2005,Venezuela (Bolivarian Republic of),Stateless,Refugees (incl. refugee-like situations),1
2005,Venezuela (Bolivarian Republic of),Sudan,Asylum-seekers,1
2005,Venezuela (Bolivarian Republic of),Togo,Refugees (incl. refugee-like situations),1
2005,Venezuela (Bolivarian Republic of),United States of America,Asylum-seekers,1
2006,Venezuela (Bolivarian Republic of),Albania,Asylum-seekers,1
2006,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),Asylum-seekers,4
2006,Venezuela (Bolivarian Republic of),China,Refugees (incl. refugee-like situations),5
2006,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),660
2006,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,7660
2006,Venezuela (Bolivarian Republic of),Colombia,Others of concern,200000
2006,Venezuela (Bolivarian Republic of),Congo,Refugees (incl. refugee-like situations),2
2006,Venezuela (Bolivarian Republic of),Congo,Asylum-seekers,1
2006,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Refugees (incl. refugee-like situations),1
2006,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Asylum-seekers,3
2006,Venezuela (Bolivarian Republic of),Cuba,Refugees (incl. refugee-like situations),5
2006,Venezuela (Bolivarian Republic of),Cuba,Asylum-seekers,12
2006,Venezuela (Bolivarian Republic of),Ecuador,Refugees (incl. refugee-like situations),1
2006,Venezuela (Bolivarian Republic of),Ecuador,Asylum-seekers,13
2006,Venezuela (Bolivarian Republic of),El Salvador,Asylum-seekers,1
2006,Venezuela (Bolivarian Republic of),Ethiopia,Asylum-seekers,3
2006,Venezuela (Bolivarian Republic of),Gambia,Asylum-seekers,7
2006,Venezuela (Bolivarian Republic of),Guatemala,Refugees (incl. refugee-like situations),3
2006,Venezuela (Bolivarian Republic of),Haiti,Refugees (incl. refugee-like situations),14
2006,Venezuela (Bolivarian Republic of),Haiti,Asylum-seekers,4
2006,Venezuela (Bolivarian Republic of),Hungary,Refugees (incl. refugee-like situations),1
2006,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),Asylum-seekers,4
2006,Venezuela (Bolivarian Republic of),Iraq,Asylum-seekers,2
2006,Venezuela (Bolivarian Republic of),Lebanon,Asylum-seekers,1
2006,Venezuela (Bolivarian Republic of),Liberia,Refugees (incl. refugee-like situations),4
2006,Venezuela (Bolivarian Republic of),Liberia,Asylum-seekers,4
2006,Venezuela (Bolivarian Republic of),Nicaragua,Refugees (incl. refugee-like situations),4
2006,Venezuela (Bolivarian Republic of),Nicaragua,Asylum-seekers,1
2006,Venezuela (Bolivarian Republic of),Nigeria,Refugees (incl. refugee-like situations),2
2006,Venezuela (Bolivarian Republic of),Nigeria,Asylum-seekers,7
2006,Venezuela (Bolivarian Republic of),Peru,Refugees (incl. refugee-like situations),7
2006,Venezuela (Bolivarian Republic of),Peru,Asylum-seekers,11
2006,Venezuela (Bolivarian Republic of),Poland,Refugees (incl. refugee-like situations),3
2006,Venezuela (Bolivarian Republic of),Russian Federation,Asylum-seekers,2
2006,Venezuela (Bolivarian Republic of),Rwanda,Refugees (incl. refugee-like situations),1
2006,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),5
2006,Venezuela (Bolivarian Republic of),Sierra Leone,Asylum-seekers,2
2006,Venezuela (Bolivarian Republic of),Somalia,Asylum-seekers,4
2006,Venezuela (Bolivarian Republic of),Stateless,Refugees (incl. refugee-like situations),1
2006,Venezuela (Bolivarian Republic of),Stateless,Asylum-seekers,5
2006,Venezuela (Bolivarian Republic of),Sudan,Asylum-seekers,2
2006,Venezuela (Bolivarian Republic of),Togo,Refugees (incl. refugee-like situations),1
2007,Venezuela (Bolivarian Republic of),Albania,Asylum-seekers,1
2007,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),Asylum-seekers,4
2007,Venezuela (Bolivarian Republic of),China,Refugees (incl. refugee-like situations),5
2007,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),200843
2007,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,9490
2007,Venezuela (Bolivarian Republic of),Congo,Refugees (incl. refugee-like situations),2
2007,Venezuela (Bolivarian Republic of),Congo,Asylum-seekers,1
2007,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Refugees (incl. refugee-like situations),1
2007,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Asylum-seekers,3
2007,Venezuela (Bolivarian Republic of),Cuba,Asylum-seekers,12
2007,Venezuela (Bolivarian Republic of),Dominican Rep.,Asylum-seekers,1
2007,Venezuela (Bolivarian Republic of),Ecuador,Refugees (incl. refugee-like situations),2
2007,Venezuela (Bolivarian Republic of),Ecuador,Asylum-seekers,13
2007,Venezuela (Bolivarian Republic of),El Salvador,Asylum-seekers,1
2007,Venezuela (Bolivarian Republic of),Ethiopia,Refugees (incl. refugee-like situations),1
2007,Venezuela (Bolivarian Republic of),Ethiopia,Asylum-seekers,4
2007,Venezuela (Bolivarian Republic of),Gambia,Refugees (incl. refugee-like situations),1
2007,Venezuela (Bolivarian Republic of),Gambia,Asylum-seekers,6
2007,Venezuela (Bolivarian Republic of),Guatemala,Refugees (incl. refugee-like situations),3
2007,Venezuela (Bolivarian Republic of),Guinea,Asylum-seekers,1
2007,Venezuela (Bolivarian Republic of),Haiti,Refugees (incl. refugee-like situations),14
2007,Venezuela (Bolivarian Republic of),Haiti,Asylum-seekers,4
2007,Venezuela (Bolivarian Republic of),Hungary,Refugees (incl. refugee-like situations),1
2007,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),Asylum-seekers,4
2007,Venezuela (Bolivarian Republic of),Iraq,Refugees (incl. refugee-like situations),4
2007,Venezuela (Bolivarian Republic of),Iraq,Asylum-seekers,2
2007,Venezuela (Bolivarian Republic of),Lebanon,Asylum-seekers,1
2007,Venezuela (Bolivarian Republic of),Liberia,Refugees (incl. refugee-like situations),4
2007,Venezuela (Bolivarian Republic of),Liberia,Asylum-seekers,4
2007,Venezuela (Bolivarian Republic of),Mauritania,Asylum-seekers,1
2007,Venezuela (Bolivarian Republic of),Nicaragua,Refugees (incl. refugee-like situations),4
2007,Venezuela (Bolivarian Republic of),Nicaragua,Asylum-seekers,1
2007,Venezuela (Bolivarian Republic of),Nigeria,Refugees (incl. refugee-like situations),4
2007,Venezuela (Bolivarian Republic of),Nigeria,Asylum-seekers,7
2007,Venezuela (Bolivarian Republic of),Pakistan,Asylum-seekers,2
2007,Venezuela (Bolivarian Republic of),Peru,Refugees (incl. refugee-like situations),7
2007,Venezuela (Bolivarian Republic of),Peru,Asylum-seekers,16
2007,Venezuela (Bolivarian Republic of),Poland,Refugees (incl. refugee-like situations),3
2007,Venezuela (Bolivarian Republic of),Russian Federation,Asylum-seekers,2
2007,Venezuela (Bolivarian Republic of),Rwanda,Refugees (incl. refugee-like situations),1
2007,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),5
2007,Venezuela (Bolivarian Republic of),Sierra Leone,Asylum-seekers,2
2007,Venezuela (Bolivarian Republic of),Somalia,Asylum-seekers,9
2007,Venezuela (Bolivarian Republic of),Stateless,Refugees (incl. refugee-like situations),1
2007,Venezuela (Bolivarian Republic of),Stateless,Asylum-seekers,5
2007,Venezuela (Bolivarian Republic of),Sudan,Asylum-seekers,2
2007,Venezuela (Bolivarian Republic of),Togo,Refugees (incl. refugee-like situations),1
2007,Venezuela (Bolivarian Republic of),Togo,Asylum-seekers,1
2007,Venezuela (Bolivarian Republic of),United States of America,Asylum-seekers,2
2008,Venezuela (Bolivarian Republic of),Albania,Asylum-seekers,1
2008,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),Asylum-seekers,4
2008,Venezuela (Bolivarian Republic of),Burundi,Asylum-seekers,1
2008,Venezuela (Bolivarian Republic of),China,Refugees (incl. refugee-like situations),5
2008,Venezuela (Bolivarian Republic of),China,Asylum-seekers,1
2008,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),201094
2008,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,11799
2008,Venezuela (Bolivarian Republic of),Congo,Refugees (incl. refugee-like situations),2
2008,Venezuela (Bolivarian Republic of),Congo,Asylum-seekers,2
2008,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Refugees (incl. refugee-like situations),1
2008,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Asylum-seekers,4
2008,Venezuela (Bolivarian Republic of),Cuba,Asylum-seekers,13
2008,Venezuela (Bolivarian Republic of),Dominican Rep.,Asylum-seekers,1
2008,Venezuela (Bolivarian Republic of),Ecuador,Refugees (incl. refugee-like situations),4
2008,Venezuela (Bolivarian Republic of),Ecuador,Asylum-seekers,10
2008,Venezuela (Bolivarian Republic of),El Salvador,Asylum-seekers,1
2008,Venezuela (Bolivarian Republic of),Ethiopia,Refugees (incl. refugee-like situations),1
2008,Venezuela (Bolivarian Republic of),Ethiopia,Asylum-seekers,4
2008,Venezuela (Bolivarian Republic of),Gambia,Refugees (incl. refugee-like situations),2
2008,Venezuela (Bolivarian Republic of),Gambia,Asylum-seekers,4
2008,Venezuela (Bolivarian Republic of),Ghana,Refugees (incl. refugee-like situations),1
2008,Venezuela (Bolivarian Republic of),Ghana,Asylum-seekers,3
2008,Venezuela (Bolivarian Republic of),Guatemala,Refugees (incl. refugee-like situations),3
2008,Venezuela (Bolivarian Republic of),Guinea,Asylum-seekers,1
2008,Venezuela (Bolivarian Republic of),Haiti,Refugees (incl. refugee-like situations),15
2008,Venezuela (Bolivarian Republic of),Haiti,Asylum-seekers,7
2008,Venezuela (Bolivarian Republic of),Hungary,Refugees (incl. refugee-like situations),1
2008,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),Asylum-seekers,4
2008,Venezuela (Bolivarian Republic of),Iraq,Asylum-seekers,9
2008,Venezuela (Bolivarian Republic of),Lebanon,Asylum-seekers,1
2008,Venezuela (Bolivarian Republic of),Liberia,Refugees (incl. refugee-like situations),4
2008,Venezuela (Bolivarian Republic of),Liberia,Asylum-seekers,4
2008,Venezuela (Bolivarian Republic of),Mauritania,Asylum-seekers,1
2008,Venezuela (Bolivarian Republic of),Nicaragua,Refugees (incl. refugee-like situations),4
2008,Venezuela (Bolivarian Republic of),Nicaragua,Asylum-seekers,1
2008,Venezuela (Bolivarian Republic of),Nigeria,Refugees (incl. refugee-like situations),4
2008,Venezuela (Bolivarian Republic of),Nigeria,Asylum-seekers,10
2008,Venezuela (Bolivarian Republic of),Pakistan,Asylum-seekers,2
2008,Venezuela (Bolivarian Republic of),Palestinian,Refugees (incl. refugee-like situations),1
2008,Venezuela (Bolivarian Republic of),Palestinian,Asylum-seekers,5
2008,Venezuela (Bolivarian Republic of),Peru,Refugees (incl. refugee-like situations),6
2008,Venezuela (Bolivarian Republic of),Peru,Asylum-seekers,16
2008,Venezuela (Bolivarian Republic of),Poland,Refugees (incl. refugee-like situations),3
2008,Venezuela (Bolivarian Republic of),Russian Federation,Asylum-seekers,2
2008,Venezuela (Bolivarian Republic of),Rwanda,Refugees (incl. refugee-like situations),3
2008,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),5
2008,Venezuela (Bolivarian Republic of),Sierra Leone,Asylum-seekers,3
2008,Venezuela (Bolivarian Republic of),Somalia,Asylum-seekers,9
2008,Venezuela (Bolivarian Republic of),Stateless,Refugees (incl. refugee-like situations),1
2008,Venezuela (Bolivarian Republic of),Stateless,Asylum-seekers,5
2008,Venezuela (Bolivarian Republic of),Sudan,Asylum-seekers,2
2008,Venezuela (Bolivarian Republic of),Togo,Refugees (incl. refugee-like situations),1
2008,Venezuela (Bolivarian Republic of),Turkey,Asylum-seekers,4
2008,Venezuela (Bolivarian Republic of),United States of America,Asylum-seekers,2
2009,Venezuela (Bolivarian Republic of),Albania,Asylum-seekers,1
2009,Venezuela (Bolivarian Republic of),Argentina,Asylum-seekers,2
2009,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),Asylum-seekers,4
2009,Venezuela (Bolivarian Republic of),Burundi,Asylum-seekers,1
2009,Venezuela (Bolivarian Republic of),China,Refugees (incl. refugee-like situations),5
2009,Venezuela (Bolivarian Republic of),China,Asylum-seekers,2
2009,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),201244
2009,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,14223
2009,Venezuela (Bolivarian Republic of),Colombia,Returned refugees,17
2009,Venezuela (Bolivarian Republic of),Congo,Refugees (incl. refugee-like situations),2
2009,Venezuela (Bolivarian Republic of),Congo,Asylum-seekers,2
2009,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Refugees (incl. refugee-like situations),1
2009,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Asylum-seekers,4
2009,Venezuela (Bolivarian Republic of),Cuba,Asylum-seekers,13
2009,Venezuela (Bolivarian Republic of),Dominican Rep.,Asylum-seekers,1
2009,Venezuela (Bolivarian Republic of),Ecuador,Refugees (incl. refugee-like situations),4
2009,Venezuela (Bolivarian Republic of),Ecuador,Asylum-seekers,10
2009,Venezuela (Bolivarian Republic of),El Salvador,Asylum-seekers,1
2009,Venezuela (Bolivarian Republic of),Ethiopia,Refugees (incl. refugee-like situations),1
2009,Venezuela (Bolivarian Republic of),Ethiopia,Asylum-seekers,4
2009,Venezuela (Bolivarian Republic of),Gambia,Refugees (incl. refugee-like situations),2
2009,Venezuela (Bolivarian Republic of),Gambia,Asylum-seekers,4
2009,Venezuela (Bolivarian Republic of),Ghana,Refugees (incl. refugee-like situations),1
2009,Venezuela (Bolivarian Republic of),Ghana,Asylum-seekers,4
2009,Venezuela (Bolivarian Republic of),Guatemala,Refugees (incl. refugee-like situations),3
2009,Venezuela (Bolivarian Republic of),Guinea,Asylum-seekers,2
2009,Venezuela (Bolivarian Republic of),Haiti,Refugees (incl. refugee-like situations),15
2009,Venezuela (Bolivarian Republic of),Haiti,Asylum-seekers,8
2009,Venezuela (Bolivarian Republic of),Hungary,Refugees (incl. refugee-like situations),1
2009,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),Asylum-seekers,5
2009,Venezuela (Bolivarian Republic of),Iraq,Asylum-seekers,9
2009,Venezuela (Bolivarian Republic of),Kenya,Asylum-seekers,1
2009,Venezuela (Bolivarian Republic of),Kuwait,Refugees (incl. refugee-like situations),1
2009,Venezuela (Bolivarian Republic of),Lebanon,Asylum-seekers,1
2009,Venezuela (Bolivarian Republic of),Liberia,Refugees (incl. refugee-like situations),4
2009,Venezuela (Bolivarian Republic of),Liberia,Asylum-seekers,4
2009,Venezuela (Bolivarian Republic of),Mauritania,Asylum-seekers,1
2009,Venezuela (Bolivarian Republic of),Mexico,Asylum-seekers,1
2009,Venezuela (Bolivarian Republic of),Nicaragua,Refugees (incl. refugee-like situations),4
2009,Venezuela (Bolivarian Republic of),Nicaragua,Asylum-seekers,1
2009,Venezuela (Bolivarian Republic of),Nigeria,Refugees (incl. refugee-like situations),4
2009,Venezuela (Bolivarian Republic of),Nigeria,Asylum-seekers,15
2009,Venezuela (Bolivarian Republic of),Pakistan,Refugees (incl. refugee-like situations),1
2009,Venezuela (Bolivarian Republic of),Pakistan,Asylum-seekers,1
2009,Venezuela (Bolivarian Republic of),Palestinian,Refugees (incl. refugee-like situations),1
2009,Venezuela (Bolivarian Republic of),Palestinian,Asylum-seekers,5
2009,Venezuela (Bolivarian Republic of),Peru,Refugees (incl. refugee-like situations),6
2009,Venezuela (Bolivarian Republic of),Peru,Asylum-seekers,15
2009,Venezuela (Bolivarian Republic of),Poland,Refugees (incl. refugee-like situations),3
2009,Venezuela (Bolivarian Republic of),Russian Federation,Asylum-seekers,2
2009,Venezuela (Bolivarian Republic of),Rwanda,Refugees (incl. refugee-like situations),3
2009,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),5
2009,Venezuela (Bolivarian Republic of),Sierra Leone,Asylum-seekers,3
2009,Venezuela (Bolivarian Republic of),Somalia,Asylum-seekers,9
2009,Venezuela (Bolivarian Republic of),Stateless,Refugees (incl. refugee-like situations),1
2009,Venezuela (Bolivarian Republic of),Stateless,Asylum-seekers,5
2009,Venezuela (Bolivarian Republic of),Sudan,Asylum-seekers,2
2009,Venezuela (Bolivarian Republic of),Togo,Refugees (incl. refugee-like situations),1
2009,Venezuela (Bolivarian Republic of),Turkey,Asylum-seekers,4
2009,Venezuela (Bolivarian Republic of),United States of America,Asylum-seekers,2
2010,Venezuela (Bolivarian Republic of),Afghanistan,Refugees (incl. refugee-like situations),4
2010,Venezuela (Bolivarian Republic of),Afghanistan,Asylum-seekers,1
2010,Venezuela (Bolivarian Republic of),Albania,Asylum-seekers,1
2010,Venezuela (Bolivarian Republic of),Argentina,Asylum-seekers,2
2010,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),Asylum-seekers,5
2010,Venezuela (Bolivarian Republic of),Burundi,Refugees (incl. refugee-like situations),2
2010,Venezuela (Bolivarian Republic of),China,Refugees (incl. refugee-like situations),5
2010,Venezuela (Bolivarian Republic of),China,Asylum-seekers,3
2010,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),201467
2010,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,15694
2010,Venezuela (Bolivarian Republic of),Congo,Refugees (incl. refugee-like situations),2
2010,Venezuela (Bolivarian Republic of),Congo,Asylum-seekers,2
2010,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Refugees (incl. refugee-like situations),1
2010,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Asylum-seekers,4
2010,Venezuela (Bolivarian Republic of),Cuba,Asylum-seekers,14
2010,Venezuela (Bolivarian Republic of),Dominican Rep.,Asylum-seekers,1
2010,Venezuela (Bolivarian Republic of),Ecuador,Refugees (incl. refugee-like situations),4
2010,Venezuela (Bolivarian Republic of),Ecuador,Asylum-seekers,13
2010,Venezuela (Bolivarian Republic of),El Salvador,Asylum-seekers,1
2010,Venezuela (Bolivarian Republic of),Ethiopia,Refugees (incl. refugee-like situations),2
2010,Venezuela (Bolivarian Republic of),Ethiopia,Asylum-seekers,4
2010,Venezuela (Bolivarian Republic of),Gambia,Refugees (incl. refugee-like situations),2
2010,Venezuela (Bolivarian Republic of),Gambia,Asylum-seekers,4
2010,Venezuela (Bolivarian Republic of),Ghana,Refugees (incl. refugee-like situations),1
2010,Venezuela (Bolivarian Republic of),Ghana,Asylum-seekers,4
2010,Venezuela (Bolivarian Republic of),Guatemala,Refugees (incl. refugee-like situations),3
2010,Venezuela (Bolivarian Republic of),Guinea,Asylum-seekers,2
2010,Venezuela (Bolivarian Republic of),Haiti,Refugees (incl. refugee-like situations),15
2010,Venezuela (Bolivarian Republic of),Haiti,Asylum-seekers,8
2010,Venezuela (Bolivarian Republic of),Honduras,Asylum-seekers,1
2010,Venezuela (Bolivarian Republic of),Hungary,Refugees (incl. refugee-like situations),1
2010,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),3
2010,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),Asylum-seekers,12
2010,Venezuela (Bolivarian Republic of),Iraq,Refugees (incl. refugee-like situations),1
2010,Venezuela (Bolivarian Republic of),Iraq,Asylum-seekers,8
2010,Venezuela (Bolivarian Republic of),Kenya,Asylum-seekers,1
2010,Venezuela (Bolivarian Republic of),Lebanon,Asylum-seekers,1
2010,Venezuela (Bolivarian Republic of),Liberia,Refugees (incl. refugee-like situations),4
2010,Venezuela (Bolivarian Republic of),Liberia,Asylum-seekers,4
2010,Venezuela (Bolivarian Republic of),Mauritania,Asylum-seekers,1
2010,Venezuela (Bolivarian Republic of),Mexico,Asylum-seekers,1
2010,Venezuela (Bolivarian Republic of),Nicaragua,Refugees (incl. refugee-like situations),4
2010,Venezuela (Bolivarian Republic of),Nicaragua,Asylum-seekers,2
2010,Venezuela (Bolivarian Republic of),Nigeria,Refugees (incl. refugee-like situations),4
2010,Venezuela (Bolivarian Republic of),Nigeria,Asylum-seekers,15
2010,Venezuela (Bolivarian Republic of),Pakistan,Refugees (incl. refugee-like situations),1
2010,Venezuela (Bolivarian Republic of),Pakistan,Asylum-seekers,1
2010,Venezuela (Bolivarian Republic of),Palestinian,Refugees (incl. refugee-like situations),1
2010,Venezuela (Bolivarian Republic of),Palestinian,Asylum-seekers,5
2010,Venezuela (Bolivarian Republic of),Peru,Refugees (incl. refugee-like situations),7
2010,Venezuela (Bolivarian Republic of),Peru,Asylum-seekers,15
2010,Venezuela (Bolivarian Republic of),Poland,Refugees (incl. refugee-like situations),3
2010,Venezuela (Bolivarian Republic of),Russian Federation,Asylum-seekers,2
2010,Venezuela (Bolivarian Republic of),Rwanda,Refugees (incl. refugee-like situations),3
2010,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),5
2010,Venezuela (Bolivarian Republic of),Sierra Leone,Asylum-seekers,3
2010,Venezuela (Bolivarian Republic of),Somalia,Asylum-seekers,9
2010,Venezuela (Bolivarian Republic of),Stateless,Refugees (incl. refugee-like situations),1
2010,Venezuela (Bolivarian Republic of),Stateless,Asylum-seekers,5
2010,Venezuela (Bolivarian Republic of),Sudan,Asylum-seekers,2
2010,Venezuela (Bolivarian Republic of),Togo,Refugees (incl. refugee-like situations),1
2010,Venezuela (Bolivarian Republic of),Turkey,Asylum-seekers,6
2010,Venezuela (Bolivarian Republic of),United States of America,Asylum-seekers,2
2011,Venezuela (Bolivarian Republic of),Afghanistan,Refugees (incl. refugee-like situations),4
2011,Venezuela (Bolivarian Republic of),Albania,Asylum-seekers,1
2011,Venezuela (Bolivarian Republic of),Argentina,Asylum-seekers,2
2011,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),Asylum-seekers,5
2011,Venezuela (Bolivarian Republic of),Burundi,Refugees (incl. refugee-like situations),1
2011,Venezuela (Bolivarian Republic of),China,Refugees (incl. refugee-like situations),5
2011,Venezuela (Bolivarian Republic of),China,Asylum-seekers,3
2011,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),201941
2011,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,17192
2011,Venezuela (Bolivarian Republic of),Congo,Refugees (incl. refugee-like situations),2
2011,Venezuela (Bolivarian Republic of),Congo,Asylum-seekers,2
2011,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Refugees (incl. refugee-like situations),1
2011,Venezuela (Bolivarian Republic of),Cote d'Ivoire,Asylum-seekers,5
2011,Venezuela (Bolivarian Republic of),Cuba,Asylum-seekers,14
2011,Venezuela (Bolivarian Republic of),Dominican Rep.,Asylum-seekers,1
2011,Venezuela (Bolivarian Republic of),Ecuador,Refugees (incl. refugee-like situations),4
2011,Venezuela (Bolivarian Republic of),Ecuador,Asylum-seekers,14
2011,Venezuela (Bolivarian Republic of),El Salvador,Asylum-seekers,1
2011,Venezuela (Bolivarian Republic of),Ethiopia,Refugees (incl. refugee-like situations),2
2011,Venezuela (Bolivarian Republic of),Ethiopia,Asylum-seekers,9
2011,Venezuela (Bolivarian Republic of),Gambia,Refugees (incl. refugee-like situations),2
2011,Venezuela (Bolivarian Republic of),Gambia,Asylum-seekers,4
2011,Venezuela (Bolivarian Republic of),Ghana,Refugees (incl. refugee-like situations),1
2011,Venezuela (Bolivarian Republic of),Ghana,Asylum-seekers,4
2011,Venezuela (Bolivarian Republic of),Guatemala,Refugees (incl. refugee-like situations),3
2011,Venezuela (Bolivarian Republic of),Guinea,Asylum-seekers,2
2011,Venezuela (Bolivarian Republic of),Haiti,Refugees (incl. refugee-like situations),15
2011,Venezuela (Bolivarian Republic of),Haiti,Asylum-seekers,9
2011,Venezuela (Bolivarian Republic of),Honduras,Asylum-seekers,1
2011,Venezuela (Bolivarian Republic of),Hungary,Refugees (incl. refugee-like situations),1
2011,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),Asylum-seekers,16
2011,Venezuela (Bolivarian Republic of),Iraq,Refugees (incl. refugee-like situations),2
2011,Venezuela (Bolivarian Republic of),Iraq,Asylum-seekers,8
2011,Venezuela (Bolivarian Republic of),Kenya,Asylum-seekers,1
2011,Venezuela (Bolivarian Republic of),Lebanon,Asylum-seekers,2
2011,Venezuela (Bolivarian Republic of),Liberia,Refugees (incl. refugee-like situations),4
2011,Venezuela (Bolivarian Republic of),Liberia,Asylum-seekers,4
2011,Venezuela (Bolivarian Republic of),Mauritania,Asylum-seekers,1
2011,Venezuela (Bolivarian Republic of),Mexico,Asylum-seekers,2
2011,Venezuela (Bolivarian Republic of),Nicaragua,Refugees (incl. refugee-like situations),4
2011,Venezuela (Bolivarian Republic of),Nicaragua,Asylum-seekers,2
2011,Venezuela (Bolivarian Republic of),Nigeria,Refugees (incl. refugee-like situations),4
2011,Venezuela (Bolivarian Republic of),Nigeria,Asylum-seekers,16
2011,Venezuela (Bolivarian Republic of),Pakistan,Refugees (incl. refugee-like situations),1
2011,Venezuela (Bolivarian Republic of),Pakistan,Asylum-seekers,1
