Funding Agency,Implementing Partner - Type,Implementing Partner - Country,Implementing Partner - DUNS Number,Award - Interagency Transfer Status,Award - Title,Award - Benefitting Location,Award - Status,Award - Total Estimated Value,Award - Signing Date,Award - Start Date,Award - End Date,Transaction - Description,Transaction - Value,Transaction - Date,Transaction - Fiscal Year,Transaction - Quarter,Transaction - Type,Transaction - Finance Type,Transaction - Aid Type,Transaction  - Tied Status,Transaction - DAC Purpose Code Name,Transaction - U.S. Foreign Assistance Category,Treasury Account - Starting Fiscal Year,Treasury Account - Ending Fiscal Year,Submission Date to FA.gov
U.S. Agency for International Development,,,,Direct Appropriation,Civic Participation,Venezuela,Finalisation,0,,10/1/15,9/30/16,,20874,9/30/16,2016,4,Commitment,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,9/30/16
U.S. Agency for International Development,Private Sector,United States,,Direct Appropriation,"USAID Equipment, Lands, and Structures",Venezuela,Finalisation,0,,10/1/18,9/30/19,,-75.85,9/30/19,2019,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,11/22/19
U.S. Agency for International Development,National NGO,,15972508,Direct Appropriation,Protection and Promotion of Human Rights in Venezuela,Venezuela,Finalisation,0,9/24/12,9/24/12,9/30/17,,78537.43,12/31/13,2014,1,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2012,2013,12/31/13
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,1299459.23,,10/1/13,9/30/19,,75834.6,12/31/16,2017,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2015,2016,12/31/16
Department of State,,Worldwide,,,,Venezuela,Finalisation,0,7/19/12,7/19/12,,,37534,9/30/12,2012,4,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2012,0,12/12/12
Inter-American Foundation,,Venezuela,,Direct Appropriation,Promoting and Supporting the Development of a Second-Tier Organization for the Empowerment of Small-Scale Cacao Producers in the Paria Region of the State of Sucre.,Venezuela,,0,,9/8/08,3/8/11,,28685,11/22/10,2011,1,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2010,2011,9/18/13
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,7041.72,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,6/30/19
Department of State,,,Information Redacted,,Information Redacted,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,123522,11/15/17,2018,1,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
Department of State,,,Information Redacted,,From Repression to Action Transforming Youth Lead,Venezuela,,0,,,,Original - GRANTS,14000,3/7/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/5/19
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions - Cooperative Agreements",Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,397511,7/31/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,2250000,4/1/14,3/31/14,9/30/20,,-62787.94,9/30/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,9/30/18
U.S. Agency for International Development,,,,Direct Appropriation,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Venezuela,Implementation,0,10/1/05,10/1/05,9/30/20,,3869.67,9/30/19,2019,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,11/22/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,0,8/31/15,8/31/15,9/30/20,,250000,9/30/15,2015,4,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2014,2015,9/30/15
U.S. Agency for International Development,,,,Direct Appropriation,Emergency humanitarian assistance award,Venezuela,Implementation,2000000,9/25/18,9/25/18,7/30/20,,413066,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Emergency food assistance,Humanitarian Assistance,2018,0,11/22/19
U.S. Agency for International Development,National NGO,,,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,0,9/9/13,9/9/13,10/31/15,,110000,3/31/14,2014,2,Disbursement,Standard grant,Project-type interventions,Tied,Human rights,"Democracy, Human Rights, and Governance",2013,2014,3/31/14
U.S. Agency for International Development,,,790238638,Direct Appropriation,Administration and Oversight,Venezuela,Implementation,0,,10/1/14,9/30/19,,36529.4,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,3/31/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,28455.85,9/30/19,2019,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,11/22/19
Department of State,,,Information Redacted,,From Repression to Action Transforming Youth Lead,Venezuela,,0,,,,Original - GRANTS,2000,2/27/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/5/19
U.S. Agency for International Development,Government,United States,,Direct Appropriation,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Venezuela,Implementation,0,10/1/05,10/1/05,9/30/19,,31056.8,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,3/31/19
U.S. Agency for International Development,National NGO,United States,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,100000,9/30/19,2019,4,Commitment,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2018,2019,11/22/19
U.S. Agency for International Development,,,790238638,Direct Appropriation,Staff Travel Costs,Venezuela,Finalisation,0,,10/1/17,9/30/18,,70221.4,6/30/18,2018,3,Commitment,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,6/30/18
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,0,4/1/14,3/31/14,3/31/20,,312000,12/31/14,2015,1,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2014,2015,12/31/14
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,600000,4/1/14,3/31/14,9/30/20,,180000,3/31/16,2016,2,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2014,2015,3/31/16
Inter-American Foundation,,Venezuela,,Direct Appropriation,"Strengthening ASOPROTOY Association in Commercial Coffee Production in Torondoy, Merida, Venezuela.",Venezuela,,0,,9/8/08,3/25/11,,101812,11/24/08,2009,1,Disbursement,Standard grant,Project-type interventions,Untied,Agricultural development,Economic Development,2009,2011,9/18/13
U.S. Agency for International Development,National NGO,United States,,Direct Appropriation,Emergency humanitarian assistance award,Venezuela,Implementation,2000000,10/1/18,9/30/18,9/30/19,,66566,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Emergency food assistance,Humanitarian Assistance,2018,0,6/30/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1600000,8/31/15,8/31/15,9/30/20,,56000,9/30/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,9/30/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,975000,8/31/15,8/31/15,9/30/20,,181455,3/31/18,2018,2,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,3/31/18
U.S. Agency for International Development,,,,Direct Appropriation,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Venezuela,Implementation,0,10/1/05,10/1/05,9/30/19,,37599.16,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,6/30/19
U.S. Agency for International Development,Private Sector,United States,809168102,Direct Appropriation,CBSI-DC-ESF-LAC/CAR A&O,Venezuela,Implementation,0,3/26/18,3/26/18,3/25/23,,454459.28,3/31/19,2019,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,3/31/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,116954,12/31/14,2015,1,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2013,2014,12/31/14
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,9666.71,6/30/15,2015,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2014,2015,6/30/15
U.S. Agency for International Development,Multilateral,,,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Implementation,500000,,10/1/17,9/30/19,,115600,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,3/31/19
U.S. Agency for International Development,National NGO,,15972508,Direct Appropriation,Protection and Promotion of Human Rights in Venezuela,Venezuela,Finalisation,0,9/24/12,9/24/12,9/30/17,,111634.69,12/31/14,2015,1,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2011,2012,12/31/14
U.S. Agency for International Development,,,,Direct Appropriation,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Venezuela,Implementation,0,,10/1/18,9/30/19,,-0.49,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2013,2014,3/31/19
U.S. Agency for International Development,National NGO,United States,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,535854.37,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2018,2019,11/22/19
U.S. Agency for International Development,,,80294842,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,864,12/31/18,2019,1,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,12/31/18
U.S. Agency for International Development,Private Sector,,,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Implementation,0,,10/1/18,9/30/19,,35609.8,3/31/19,2019,2,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,3/31/19
U.S. Agency for International Development,Private Sector,United States,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Finalisation,0,,10/1/18,9/30/19,,293454.78,9/30/19,2019,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,11/22/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,108974,6/30/14,2014,3,Disbursement,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2013,2014,6/30/14
U.S. Agency for International Development,,,80294842,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,475.42,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,12/31/18
Department of State,,,Information Redacted,,Strengthening Opportunities and Pro,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,33998,12/13/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,2018,7/16/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,2100000,8/31/15,8/31/15,9/30/20,,131461,3/31/18,2018,2,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2016,2017,3/31/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,300000,9/30/15,2015,4,Commitment,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2014,2015,9/30/15
U.S. Agency for International Development,National NGO,United States,,Direct Appropriation,Humanitarian Assistance in Venezuela,Venezuela,Implementation,1982254,10/1/18,9/30/18,9/30/19,,274398.26,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,3/31/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Supporting Democratic Institutions and Transparent Electoral Processes,Venezuela,Finalisation,0,8/5/08,8/5/08,9/30/16,,207408.63,12/31/12,2013,1,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2011,2012,12/31/12
U.S. Agency for International Development,Private Sector,,195773598,Direct Appropriation,P-Advisory- Promoting Excellence in Private Sector Engagement (PEPSE),Venezuela,Implementation,24500000,8/28/17,8/28/17,8/27/22,,30675,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,12/31/18
Department of State,,,Information Redacted,,Information Redacted,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,313454.2,5/22/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/07,10/1/12,9/30/13,,77944,9/30/13,2013,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/13
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,7990000,4/1/14,3/31/14,9/30/20,,-52272,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,12/31/18
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,39085.23,8/31/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
Department of State,,,Information Redacted,,Combatting Corruption in Venezuela,Venezuela,,0,,,,Original - GRANTS,12000,11/14/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2017,2018,5/1/19
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,,10/1/17,9/30/18,,25049.74,3/31/18,2018,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/18
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,3585000,4/1/14,3/31/14,9/30/20,,87575,3/31/18,2018,2,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2016,2017,3/31/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,650000,8/31/15,8/31/15,9/30/20,,290000,3/31/17,2017,2,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2016,2017,3/31/17
U.S. Agency for International Development,,,,Direct Appropriation,USAID Pay and Benefits,Venezuela,Finalisation,0,,10/1/18,9/30/19,,-500.9,9/30/19,2019,4,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,11/22/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,1844.21,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,3/31/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,1350000,4/1/14,3/31/14,9/30/20,,11000,6/30/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,6/30/18
U.S. Agency for International Development,National NGO,,620408971,Direct Appropriation,Private Sector Roadmap,Venezuela,Finalisation,291192,8/1/17,8/1/17,9/30/18,,176192,3/31/18,2018,2,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,3/31/18
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,47876.51,6/30/17,2017,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2016,2017,6/30/17
U.S. Agency for International Development,Private Sector,United States,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,58149.15,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,3/31/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1400000,8/31/15,8/31/15,9/30/20,,64531,6/30/16,2016,3,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2014,2015,6/30/16
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1400000,8/31/15,8/31/15,9/30/20,,41347,12/31/15,2016,1,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2014,2015,12/31/15
U.S. Agency for International Development,National NGO,,620408971,Direct Appropriation,Private Sector Roadmap,Venezuela,Finalisation,291192,8/1/17,8/1/17,9/30/18,,32835.94,6/30/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,6/30/18
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,738000,9/30/15,2015,4,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2014,2015,9/30/15
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,128467,9/30/15,2015,4,Commitment,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2014,2015,9/30/15
U.S. Agency for International Development,,,,Direct Appropriation,USAID Pay and Benefits,Venezuela,Finalisation,0,,10/1/18,9/30/19,,31358.57,9/30/19,2019,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,11/22/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Constitutional Analysis Program,Venezuela,Implementation,500000,9/30/16,9/30/16,12/31/20,,325000,3/31/17,2017,2,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,3/31/17
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,2250000,4/1/14,3/31/14,9/30/20,,82825.75,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2017,2018,12/31/18
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1400000,8/31/15,8/31/15,9/30/20,,600000,12/31/15,2016,1,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2015,2016,12/31/15
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Constitutional Analysis Program,Venezuela,Implementation,1080000,9/30/16,9/30/16,12/31/20,,84000,6/30/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/30/18
U.S. Agency for International Development,,,80652707,Direct Appropriation,Staff Travel Costs,Venezuela,Finalisation,0,,10/1/17,9/30/18,,11676.05,9/30/18,2018,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,9/30/18
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/14,9/30/15,,97476.92,12/31/14,2015,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/14
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,15042.96,6/30/17,2017,3,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,6/30/17
Department of State,,,Information Redacted,,From Repression to Action Transforming Youth Lead,Venezuela,,0,,,,Original - GRANTS,7304,1/7/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/5/19
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/05,10/1/16,9/30/17,,15000,6/30/17,2017,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/17
U.S. Agency for International Development,Government,United States,,Direct Appropriation,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Venezuela,Implementation,0,10/1/05,10/1/05,9/30/19,,14581.2,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,3/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Program Support (Civil Society),Venezuela,Finalisation,0,,10/1/12,9/30/15,,-2729.05,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2007,0,12/31/12
U.S. Agency for International Development,National NGO,United States,927923250,Direct Appropriation,Sectoral Planning by Democratic Stakeholders,Venezuela,Implementation,433079.67,10/1/18,9/30/18,9/30/20,,743178,6/30/19,2019,3,Commitment,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2018,2019,6/30/19
U.S. Agency for International Development,"Academic, Training and Research",United States,193247145,Direct Appropriation,Program Design and Learning,Venezuela,Finalisation,1500000,,10/1/18,9/30/19,,100000,9/30/19,2019,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,11/22/19
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/07,10/1/12,9/30/13,,24658,3/31/13,2013,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/13
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,0,9/9/13,9/9/13,10/31/15,,197187.5,9/30/15,2015,4,Disbursement,Standard grant,Project-type interventions,Tied,Human rights,"Democracy, Human Rights, and Governance",2014,2015,9/30/15
Department of State,,,Information Redacted,,Information Redacted,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,38207.36,4/25/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
U.S. Agency for International Development,,,,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/12,9/30/13,,-23.6,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2006,0,12/31/12
U.S. Agency for International Development,,,790238638,Direct Appropriation,Program Design and Learning,Venezuela,Finalisation,747940.4,,10/1/14,9/30/16,,7452.55,9/30/16,2016,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2015,2016,9/30/16
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,4690000,4/1/14,3/31/14,9/30/20,,100000,6/30/17,2017,3,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,6/30/17
Department of State,,,77811172,,"Grants, Subsidies and Contributions - Cooperative Agreements",Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,74959,2/11/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,2018,7/16/19
U.S. Agency for International Development,Private Sector,United States,195773598,Direct Appropriation,P-Advisory- Promoting Excellence in Private Sector Engagement (PEPSE),Venezuela,Implementation,24500000,8/28/17,8/28/17,8/27/22,,53275.98,4/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,4/30/19
U.S. Agency for International Development,National NGO,,927923250,Direct Appropriation,National Assembly,Venezuela,Implementation,3500000,9/30/16,9/30/16,9/30/20,,360973.08,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,12/31/18
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,3640000,4/1/14,3/31/14,9/30/20,,220294,9/30/16,2016,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2014,2015,9/30/16
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,1050000,4/1/14,3/31/14,9/30/20,,35471.28,6/30/17,2017,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,6/30/17
U.S. Agency for International Development,,,790238638,Direct Appropriation,Civic Participation,Venezuela,Finalisation,0,,10/1/14,9/30/16,,540,9/30/16,2016,4,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2007,0,9/30/16
