Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2011,Venezuela (Bolivarian Republic of),El Salvador,G / FI,1,1,0,0,0,0,0,,1,1
2011,Venezuela (Bolivarian Republic of),Somalia,G / FI,9,9,0,0,0,0,0,,9,9
2011,Venezuela (Bolivarian Republic of),Turkey,G / FI,6,6,0,2,0,0,0,2,4,4
2011,Venezuela (Bolivarian Republic of),United States of America,G / FI,2,1,1,0,0,0,0,,3,2
2011,Venezuela (Bolivarian Republic of),Stateless,G / FI,5,5,0,0,0,0,0,,5,5
2012,Venezuela (Bolivarian Republic of),Albania,G / FI,1,1,0,0,0,0,0,,1,1
2012,Venezuela (Bolivarian Republic of),Argentina,G / FI,2,2,0,0,0,0,0,,2,2
2012,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),G / FI,5,5,0,0,0,0,0,,5,5
2012,Venezuela (Bolivarian Republic of),China,G / FI,3,3,1,0,0,0,0,,4,4
2012,Venezuela (Bolivarian Republic of),Côte d'Ivoire,G / FI,4,4,0,0,0,0,0,,4,4
2012,Venezuela (Bolivarian Republic of),Congo,G / FI,2,2,0,0,0,0,0,,2,2
2012,Venezuela (Bolivarian Republic of),Colombia,G / FI,17192,17192,2002,1182,0,9856,7406,18444,750,750
2012,Venezuela (Bolivarian Republic of),Cuba,G / FI,14,3,0,0,0,0,0,,14,3
2012,Venezuela (Bolivarian Republic of),Dominican Rep.,G / FI,1,1,0,0,0,0,0,,1,1
2012,Venezuela (Bolivarian Republic of),Ecuador,G / FI,13,3,0,0,0,0,0,,13,4
2012,Venezuela (Bolivarian Republic of),Ethiopia,G / FI,4,4,0,0,0,0,0,,4,4
2012,Venezuela (Bolivarian Republic of),Ghana,G / FI,4,4,1,0,0,0,0,,5,5
2012,Venezuela (Bolivarian Republic of),Guinea,G / FI,2,2,0,0,0,0,0,,2,2
2012,Venezuela (Bolivarian Republic of),Gambia,G / FI,4,4,0,0,0,0,0,,4,4
2012,Venezuela (Bolivarian Republic of),Honduras,G / FI,1,1,0,0,0,0,0,,1,1
2012,Venezuela (Bolivarian Republic of),Haiti,G / FI,8,8,0,0,0,0,0,,8,8
2012,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),G / FI,12,8,0,0,0,0,0,,12,12
2012,Venezuela (Bolivarian Republic of),Iraq,G / FI,8,8,0,0,0,0,0,,8,7
2012,Venezuela (Bolivarian Republic of),Kenya,G / FI,1,1,0,0,0,0,0,,1,1
2012,Venezuela (Bolivarian Republic of),Lebanon,G / FI,1,0,0,0,0,0,0,,1,1
2012,Venezuela (Bolivarian Republic of),Liberia,G / FI,4,1,0,0,0,0,0,,4,1
2012,Venezuela (Bolivarian Republic of),Mexico,G / FI,1,1,0,0,0,0,0,,1,1
2012,Venezuela (Bolivarian Republic of),Mauritania,G / FI,1,1,0,0,0,0,0,,1,1
2012,Venezuela (Bolivarian Republic of),Nigeria,G / FI,15,14,0,0,0,0,0,,15,15
2012,Venezuela (Bolivarian Republic of),Nicaragua,G / FI,2,1,0,0,0,0,0,,2,1
2012,Venezuela (Bolivarian Republic of),Pakistan,G / FI,1,1,0,0,0,0,0,,1,1
2012,Venezuela (Bolivarian Republic of),Peru,G / FI,15,15,0,0,0,0,0,,15,14
2012,Venezuela (Bolivarian Republic of),Palestinian,G / FI,5,5,0,0,0,0,0,,5,5
2012,Venezuela (Bolivarian Republic of),Russian Federation,G / FI,2,2,0,0,0,0,0,,2,2
2012,Venezuela (Bolivarian Republic of),Sudan,G / FI,2,2,0,0,0,0,0,,2,2
2012,Venezuela (Bolivarian Republic of),Sierra Leone,G / FI,3,1,0,0,0,0,0,,3,1
2012,Venezuela (Bolivarian Republic of),El Salvador,G / FI,1,1,0,0,0,0,0,,1,1
2012,Venezuela (Bolivarian Republic of),Somalia,G / FI,9,9,0,0,0,0,0,,9,9
2012,Venezuela (Bolivarian Republic of),Turkey,G / FI,6,6,0,0,0,0,0,,6,4
2012,Venezuela (Bolivarian Republic of),United States of America,G / FI,2,1,0,0,0,0,0,,2,2
2012,Venezuela (Bolivarian Republic of),Stateless,G / FI,5,5,0,0,0,0,0,,5,5
2013,Venezuela (Bolivarian Republic of),Albania,G / FI,1,1,0,0,0,0,0,,1,1
2013,Venezuela (Bolivarian Republic of),Argentina,G / FI,2,2,0,0,0,0,0,,2,2
2013,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),G / FI,5,5,0,0,0,0,0,,5,5
2013,Venezuela (Bolivarian Republic of),China,G / FI,4,4,0,0,0,0,0,,4,4
2013,Venezuela (Bolivarian Republic of),Côte d'Ivoire,G / FI,4,4,0,0,0,0,0,,4,4
2013,Venezuela (Bolivarian Republic of),Congo,G / FI,2,2,0,0,0,0,0,,2,2
2013,Venezuela (Bolivarian Republic of),Colombia,G / FI,750,750,3497,725,0,2613,0,3338,909,909
2013,Venezuela (Bolivarian Republic of),Cuba,G / FI,14,3,0,0,0,0,0,,14,3
2013,Venezuela (Bolivarian Republic of),Dominican Rep.,G / FI,1,1,0,0,0,0,0,,1,1
2013,Venezuela (Bolivarian Republic of),Ecuador,G / FI,13,4,0,0,0,0,0,,13,4
2013,Venezuela (Bolivarian Republic of),Ethiopia,G / FI,4,4,0,0,0,0,0,,4,4
2013,Venezuela (Bolivarian Republic of),Ghana,G / FI,5,5,0,0,0,0,0,,5,5
2013,Venezuela (Bolivarian Republic of),Guinea,G / FI,2,2,0,0,0,0,0,,2,2
2013,Venezuela (Bolivarian Republic of),Gambia,G / FI,4,4,0,0,0,0,0,,4,4
2013,Venezuela (Bolivarian Republic of),Honduras,G / FI,1,1,0,0,0,0,0,,1,1
2013,Venezuela (Bolivarian Republic of),Haiti,G / FI,8,8,0,0,0,0,0,,8,8
2013,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),G / FI,12,12,0,0,0,0,0,,12,12
2013,Venezuela (Bolivarian Republic of),Iraq,G / FI,8,7,0,0,0,0,0,,8,7
2013,Venezuela (Bolivarian Republic of),Kenya,G / FI,1,1,0,0,0,0,0,,1,1
2013,Venezuela (Bolivarian Republic of),Lebanon,G / FI,2,1,0,0,0,0,0,,2,1
2013,Venezuela (Bolivarian Republic of),Liberia,G / FI,4,1,0,0,0,0,0,,4,1
2013,Venezuela (Bolivarian Republic of),Mexico,G / FI,1,1,0,0,0,0,0,,1,1
2013,Venezuela (Bolivarian Republic of),Mauritania,G / FI,1,1,0,0,0,0,0,,1,1
2013,Venezuela (Bolivarian Republic of),Nigeria,G / FI,15,15,0,0,0,0,0,,15,15
2013,Venezuela (Bolivarian Republic of),Nicaragua,G / FI,2,1,0,0,0,0,0,,2,1
2013,Venezuela (Bolivarian Republic of),Pakistan,G / FI,1,1,0,0,0,0,0,,1,1
2013,Venezuela (Bolivarian Republic of),Peru,G / FI,14,14,0,0,0,0,0,,14,14
2013,Venezuela (Bolivarian Republic of),Palestinian,G / FI,5,5,0,0,0,0,0,,5,5
2013,Venezuela (Bolivarian Republic of),Russian Federation,G / FI,2,2,0,0,0,0,0,,2,2
2013,Venezuela (Bolivarian Republic of),Sudan,G / FI,2,2,0,0,0,0,0,,2,2
2013,Venezuela (Bolivarian Republic of),Sierra Leone,G / FI,3,1,0,0,0,0,0,,3,1
2013,Venezuela (Bolivarian Republic of),El Salvador,G / FI,1,1,0,0,0,0,0,,1,1
2013,Venezuela (Bolivarian Republic of),Somalia,G / FI,9,9,0,0,0,0,0,,9,9
2013,Venezuela (Bolivarian Republic of),Turkey,G / FI,4,4,0,0,0,0,0,,4,4
2013,Venezuela (Bolivarian Republic of),United States of America,G / FI,2,2,0,0,0,0,0,,2,2
2013,Venezuela (Bolivarian Republic of),Stateless,G / FI,5,5,0,0,0,0,0,,5,5
2014,Venezuela (Bolivarian Republic of),Albania,G / FI,1,1,0,0,0,0,0,,1,1
2014,Venezuela (Bolivarian Republic of),Argentina,G / FI,2,2,0,0,0,0,0,,2,2
2014,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),G / FI,5,5,0,0,0,0,0,,5,5
2014,Venezuela (Bolivarian Republic of),Chile,G / FI,4,4,0,0,0,0,0,,4,4
2014,Venezuela (Bolivarian Republic of),Côte d'Ivoire,G / FI,4,4,0,0,0,0,0,,4,4
2014,Venezuela (Bolivarian Republic of),Congo,G / FI,2,2,0,0,0,0,0,,2,2
2014,Venezuela (Bolivarian Republic of),Colombia,G / FI,909,909,2468,724,0,2402,0,3126,251,239
2014,Venezuela (Bolivarian Republic of),Cuba,G / FI,14,3,0,0,0,0,0,,14,3
2014,Venezuela (Bolivarian Republic of),Dominican Rep.,G / FI,1,1,0,0,0,0,0,,1,1
2014,Venezuela (Bolivarian Republic of),Ecuador,G / FI,13,4,0,0,0,0,0,,13,4
2014,Venezuela (Bolivarian Republic of),Ethiopia,G / FI,4,4,0,0,0,0,0,,4,4
2014,Venezuela (Bolivarian Republic of),Ghana,G / FI,5,5,0,0,0,0,0,,5,5
2014,Venezuela (Bolivarian Republic of),Guinea,G / FI,2,2,0,0,0,0,0,,2,2
2014,Venezuela (Bolivarian Republic of),Gambia,G / FI,4,4,0,0,0,0,0,,4,4
2014,Venezuela (Bolivarian Republic of),Honduras,G / FI,1,1,0,0,0,0,0,,1,1
2014,Venezuela (Bolivarian Republic of),Haiti,G / FI,8,8,0,0,0,0,0,,8,8
2014,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),G / FI,12,12,5,0,0,0,0,,17,17
2014,Venezuela (Bolivarian Republic of),Iraq,G / FI,8,7,0,0,0,0,0,,8,7
2014,Venezuela (Bolivarian Republic of),Kenya,G / FI,1,1,0,0,0,0,0,,1,1
2014,Venezuela (Bolivarian Republic of),Lebanon,G / FI,2,1,0,0,0,0,0,,2,1
2014,Venezuela (Bolivarian Republic of),Liberia,G / FI,4,1,0,0,0,0,0,,4,1
2014,Venezuela (Bolivarian Republic of),Mexico,G / FI,1,1,0,0,0,0,0,,1,1
2014,Venezuela (Bolivarian Republic of),Mauritania,G / FI,1,1,0,0,0,0,0,,1,1
2014,Venezuela (Bolivarian Republic of),Nigeria,G / FI,15,15,0,0,0,0,0,,15,15
2014,Venezuela (Bolivarian Republic of),Nicaragua,G / FI,2,1,0,0,0,0,0,,2,1
2014,Venezuela (Bolivarian Republic of),Pakistan,G / FI,1,1,0,0,0,0,0,,1,1
2014,Venezuela (Bolivarian Republic of),Peru,G / FI,14,14,0,0,0,0,0,,14,14
2014,Venezuela (Bolivarian Republic of),Palestinian,G / FI,5,5,0,0,0,0,0,,5,5
2014,Venezuela (Bolivarian Republic of),Russian Federation,G / FI,2,2,0,0,0,0,0,,2,2
2014,Venezuela (Bolivarian Republic of),Sudan,G / FI,2,2,0,0,0,0,0,,2,2
2014,Venezuela (Bolivarian Republic of),Sierra Leone,G / FI,3,1,0,0,0,0,0,,3,1
2014,Venezuela (Bolivarian Republic of),El Salvador,G / FI,1,1,0,0,0,0,0,,1,1
2014,Venezuela (Bolivarian Republic of),Somalia,G / FI,9,9,6,0,0,0,0,,15,15
2014,Venezuela (Bolivarian Republic of),Syrian Arab Rep.,G / FI,0,0,1,0,0,0,0,,1,1
2014,Venezuela (Bolivarian Republic of),Turkey,G / FI,4,4,0,0,0,0,0,,4,4
2014,Venezuela (Bolivarian Republic of),United States of America,G / FI,2,2,0,0,0,0,0,,2,2
2014,Venezuela (Bolivarian Republic of),Stateless,G / FI,5,5,0,0,0,0,0,,5,5
2015,Venezuela (Bolivarian Republic of),Albania,G / FI,1,1,0,0,0,0,0,,1,1
2015,Venezuela (Bolivarian Republic of),Argentina,G / FI,2,2,0,0,0,0,0,,2,2
2015,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),G / FI,5,5,0,0,0,0,0,,5,5
2015,Venezuela (Bolivarian Republic of),Chile,G / FI,4,4,0,0,0,0,0,,4,4
2015,Venezuela (Bolivarian Republic of),Côte d'Ivoire,G / FI,4,4,0,0,0,0,0,,4,4
2015,Venezuela (Bolivarian Republic of),Congo,G / FI,2,2,0,0,0,0,0,,2,2
2015,Venezuela (Bolivarian Republic of),Colombia,G / FI,251,239,1486,1211,0,469,0,1680,57,45
2015,Venezuela (Bolivarian Republic of),Cuba,G / FI,14,3,0,0,0,0,0,,14,3
2015,Venezuela (Bolivarian Republic of),Dominican Rep.,G / FI,1,1,0,0,0,0,0,,1,1
2015,Venezuela (Bolivarian Republic of),Ecuador,G / FI,13,4,0,0,0,0,0,,13,4
2015,Venezuela (Bolivarian Republic of),Ethiopia,G / FI,4,4,0,0,0,0,0,,4,4
2015,Venezuela (Bolivarian Republic of),Ghana,G / FI,5,5,0,0,0,0,0,,5,5
2015,Venezuela (Bolivarian Republic of),Guinea,G / FI,2,2,0,0,0,0,0,,2,2
2015,Venezuela (Bolivarian Republic of),Gambia,G / FI,4,4,0,0,0,0,0,,4,4
2015,Venezuela (Bolivarian Republic of),Honduras,G / FI,1,1,0,0,0,0,0,,1,1
2015,Venezuela (Bolivarian Republic of),Haiti,G / FI,8,8,0,0,0,0,0,,8,8
2015,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),G / FI,17,17,1,0,0,0,0,,18,18
2015,Venezuela (Bolivarian Republic of),Iraq,G / FI,8,7,0,0,0,0,0,,8,7
2015,Venezuela (Bolivarian Republic of),Kenya,G / FI,1,1,0,0,0,0,0,,1,1
2015,Venezuela (Bolivarian Republic of),Lebanon,G / FI,2,1,0,0,0,0,0,,2,2
2015,Venezuela (Bolivarian Republic of),Liberia,G / FI,4,1,0,0,0,0,0,,4,1
2015,Venezuela (Bolivarian Republic of),Mexico,G / FI,1,1,0,0,0,0,0,,1,1
2015,Venezuela (Bolivarian Republic of),Mauritania,G / FI,1,1,0,0,0,0,0,,1,1
2015,Venezuela (Bolivarian Republic of),Nigeria,G / FI,15,15,0,0,0,0,0,,15,15
2015,Venezuela (Bolivarian Republic of),Nicaragua,G / FI,2,1,0,0,0,0,0,,2,1
2015,Venezuela (Bolivarian Republic of),Pakistan,G / FI,1,1,0,0,0,0,0,,1,1
2015,Venezuela (Bolivarian Republic of),Peru,G / FI,14,14,0,0,0,0,0,,14,14
2015,Venezuela (Bolivarian Republic of),Palestinian,G / FI,5,5,0,0,0,0,0,,5,5
2015,Venezuela (Bolivarian Republic of),Russian Federation,G / FI,2,2,0,0,0,0,0,,2,2
2015,Venezuela (Bolivarian Republic of),Sudan,G / FI,2,2,0,0,0,0,0,,2,2
2015,Venezuela (Bolivarian Republic of),Sierra Leone,G / FI,3,1,0,0,0,0,0,,3,1
2015,Venezuela (Bolivarian Republic of),El Salvador,G / FI,1,1,0,0,0,0,0,,1,1
2015,Venezuela (Bolivarian Republic of),Somalia,G / FI,15,15,0,0,0,0,0,,15,15
2015,Venezuela (Bolivarian Republic of),Syrian Arab Rep.,G / FI,1,1,1,0,0,0,0,,2,2
2015,Venezuela (Bolivarian Republic of),Turkey,G / FI,4,4,0,0,0,0,0,,4,4
2015,Venezuela (Bolivarian Republic of),United States of America,G / FI,2,2,0,0,0,0,0,,2,2
2015,Venezuela (Bolivarian Republic of),Stateless,G / FI,5,5,0,0,0,0,0,,5,5
2016,Venezuela (Bolivarian Republic of),Albania,G / FI,1,1,,,,,1,1,0,0
2016,Venezuela (Bolivarian Republic of),Argentina,G / FI,2,2,,,,,2,2,0,0
2016,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),G / FI,5,5,,,,,5,5,0,0
2016,Venezuela (Bolivarian Republic of),Chile,G / FI,4,4,,4,,,,4,0,0
2016,Venezuela (Bolivarian Republic of),Côte d'Ivoire,G / FI,4,4,,,,,4,4,0,0
2016,Venezuela (Bolivarian Republic of),Congo,G / FI,2,2,,2,,,,2,0,0
2016,Venezuela (Bolivarian Republic of),Colombia,G / FI,57,45,2868,1270,,773,,2043,882,706
2016,Venezuela (Bolivarian Republic of),Cuba,G / FI,14,3,,,,,14,14,0,0
2016,Venezuela (Bolivarian Republic of),Germany,G / FI,,,2,,,,,,2,1
2016,Venezuela (Bolivarian Republic of),Dominican Rep.,G / FI,1,1,,,,,1,1,0,0
2016,Venezuela (Bolivarian Republic of),Ecuador,G / FI,13,4,,,,,13,13,0,0
2016,Venezuela (Bolivarian Republic of),Ethiopia,G / FI,4,4,,,,,4,4,0,0
2016,Venezuela (Bolivarian Republic of),Ghana,G / FI,5,5,,1,,,4,5,0,0
2016,Venezuela (Bolivarian Republic of),Guinea,G / FI,2,2,,,,,2,2,0,0
2016,Venezuela (Bolivarian Republic of),Gambia,G / FI,4,4,,,,,4,4,0,0
2016,Venezuela (Bolivarian Republic of),Honduras,G / FI,1,1,,1,,,,1,0,0
2016,Venezuela (Bolivarian Republic of),Haiti,G / FI,8,8,,,,,8,8,0,0
2016,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),G / FI,18,18,,,,,18,18,0,0
2016,Venezuela (Bolivarian Republic of),Iraq,G / FI,8,7,,8,,,,8,0,0
2016,Venezuela (Bolivarian Republic of),Kenya,G / FI,1,1,,,,,1,1,0,0
2016,Venezuela (Bolivarian Republic of),Lebanon,G / FI,2,2,,2,,,,2,0,0
2016,Venezuela (Bolivarian Republic of),Liberia,G / FI,4,1,,4,,,,4,0,0
2016,Venezuela (Bolivarian Republic of),Mexico,G / FI,1,1,,,,,1,1,0,0
2016,Venezuela (Bolivarian Republic of),Mauritania,G / FI,1,1,,,,,1,1,0,0
2016,Venezuela (Bolivarian Republic of),Nigeria,G / FI,15,15,,3,,,12,15,0,0
2016,Venezuela (Bolivarian Republic of),Nicaragua,G / FI,2,1,,,,,2,2,0,0
2016,Venezuela (Bolivarian Republic of),Pakistan,G / FI,1,1,,,,,1,1,0,0
2016,Venezuela (Bolivarian Republic of),Peru,G / FI,14,14,2,,,,14,14,2,1
2016,Venezuela (Bolivarian Republic of),Palestinian,G / FI,5,5,,5,,,,5,0,0
2016,Venezuela (Bolivarian Republic of),Russian Federation,G / FI,2,2,,,,,2,2,0,0
2016,Venezuela (Bolivarian Republic of),Sudan,G / FI,2,2,,,,,2,2,0,0
2016,Venezuela (Bolivarian Republic of),Sierra Leone,G / FI,3,1,,1,,,2,3,0,0
2016,Venezuela (Bolivarian Republic of),El Salvador,G / FI,1,1,,,,,1,1,0,0
2016,Venezuela (Bolivarian Republic of),Somalia,G / FI,15,15,,,,,15,15,0,0
2016,Venezuela (Bolivarian Republic of),Syrian Arab Rep.,G / FI,2,2,18,2,,,,2,18,14
2016,Venezuela (Bolivarian Republic of),Turkey,G / FI,4,4,,4,,,,4,0,0
2016,Venezuela (Bolivarian Republic of),United States of America,G / FI,2,2,,1,,,1,2,0,0
2016,Venezuela (Bolivarian Republic of),Stateless,G / FI,5,5,,,,,5,5,0,0
2017,Venezuela (Bolivarian Republic of),Colombia,G / FI,904,722,105,15,0,80,10,105,904,510
2018,Venezuela (Bolivarian Republic of),Colombia,G / FI,1284,724,959,615,0,1400,86,2101,142,52
