Country / territory of asylum/residence,Origin,Year,Month,Value
France,Venezuela (Bolivarian Republic of),2007,August,1
France,Venezuela (Bolivarian Republic of),2007,November,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2007,January,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2007,March,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2007,June,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2007,August,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2007,September,1
Germany,Venezuela (Bolivarian Republic of),2007,February,1
Germany,Venezuela (Bolivarian Republic of),2007,July,2
Germany,Venezuela (Bolivarian Republic of),2007,September,2
Greece,Venezuela (Bolivarian Republic of),2007,December,1
Ireland,Venezuela (Bolivarian Republic of),2007,February,2
Poland,Venezuela (Bolivarian Republic of),2007,May,1
Portugal,Venezuela (Bolivarian Republic of),2007,June,1
Portugal,Venezuela (Bolivarian Republic of),2007,August,1
Romania,Venezuela (Bolivarian Republic of),2007,June,1
Spain,Venezuela (Bolivarian Republic of),2007,January,10
Spain,Venezuela (Bolivarian Republic of),2007,February,2
Spain,Venezuela (Bolivarian Republic of),2007,March,8
Spain,Venezuela (Bolivarian Republic of),2007,May,3
Spain,Venezuela (Bolivarian Republic of),2007,June,6
Spain,Venezuela (Bolivarian Republic of),2007,July,1
Spain,Venezuela (Bolivarian Republic of),2007,August,4
Spain,Venezuela (Bolivarian Republic of),2007,October,2
Spain,Venezuela (Bolivarian Republic of),2007,November,3
Spain,Venezuela (Bolivarian Republic of),2007,December,2
Sweden,Venezuela (Bolivarian Republic of),2007,May,3
Sweden,Venezuela (Bolivarian Republic of),2007,June,2
Sweden,Venezuela (Bolivarian Republic of),2007,October,1
Sweden,Venezuela (Bolivarian Republic of),2007,November,1
Sweden,Venezuela (Bolivarian Republic of),2007,December,1
Switzerland,Venezuela (Bolivarian Republic of),2007,April,1
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,January,51
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,February,53
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,March,47
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,April,47
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,May,49
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,June,47
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,July,54
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,August,74
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,September,49
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,October,61
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,November,58
USA (INS/DHS),Venezuela (Bolivarian Republic of),2007,December,43
USA (EOIR),Venezuela (Bolivarian Republic of),2007,January,10
USA (EOIR),Venezuela (Bolivarian Republic of),2007,February,10
USA (EOIR),Venezuela (Bolivarian Republic of),2007,March,17
USA (EOIR),Venezuela (Bolivarian Republic of),2007,April,8
USA (EOIR),Venezuela (Bolivarian Republic of),2007,May,15
USA (EOIR),Venezuela (Bolivarian Republic of),2007,June,6
USA (EOIR),Venezuela (Bolivarian Republic of),2007,July,6
USA (EOIR),Venezuela (Bolivarian Republic of),2007,August,3
USA (EOIR),Venezuela (Bolivarian Republic of),2007,September,8
USA (EOIR),Venezuela (Bolivarian Republic of),2007,October,12
USA (EOIR),Venezuela (Bolivarian Republic of),2007,November,6
USA (EOIR),Venezuela (Bolivarian Republic of),2007,December,11
Austria,Venezuela (Bolivarian Republic of),2008,January,1
Belgium,Venezuela (Bolivarian Republic of),2008,March,1
Canada,Venezuela (Bolivarian Republic of),2008,January,14
Canada,Venezuela (Bolivarian Republic of),2008,February,18
Canada,Venezuela (Bolivarian Republic of),2008,March,8
Canada,Venezuela (Bolivarian Republic of),2008,April,13
Canada,Venezuela (Bolivarian Republic of),2008,May,17
Canada,Venezuela (Bolivarian Republic of),2008,June,27
Canada,Venezuela (Bolivarian Republic of),2008,July,20
Canada,Venezuela (Bolivarian Republic of),2008,August,12
Canada,Venezuela (Bolivarian Republic of),2008,September,12
Canada,Venezuela (Bolivarian Republic of),2008,October,12
Canada,Venezuela (Bolivarian Republic of),2008,November,15
Canada,Venezuela (Bolivarian Republic of),2008,December,15
Denmark,Venezuela (Bolivarian Republic of),2008,March,1
Germany,Venezuela (Bolivarian Republic of),2008,July,1
Germany,Venezuela (Bolivarian Republic of),2008,August,1
Germany,Venezuela (Bolivarian Republic of),2008,November,1
Germany,Venezuela (Bolivarian Republic of),2008,December,1
Greece,Venezuela (Bolivarian Republic of),2008,May,1
Greece,Venezuela (Bolivarian Republic of),2008,June,1
Ireland,Venezuela (Bolivarian Republic of),2008,June,2
Liechtenstein,Venezuela (Bolivarian Republic of),2008,December,1
Netherlands,Venezuela (Bolivarian Republic of),2008,June,1
Netherlands,Venezuela (Bolivarian Republic of),2008,November,1
Spain,Venezuela (Bolivarian Republic of),2008,January,8
Spain,Venezuela (Bolivarian Republic of),2008,February,9
Spain,Venezuela (Bolivarian Republic of),2008,March,2
Spain,Venezuela (Bolivarian Republic of),2008,April,5
Spain,Venezuela (Bolivarian Republic of),2008,May,4
Spain,Venezuela (Bolivarian Republic of),2008,June,3
Spain,Venezuela (Bolivarian Republic of),2008,July,3
Spain,Venezuela (Bolivarian Republic of),2008,August,1
Spain,Venezuela (Bolivarian Republic of),2008,September,1
Spain,Venezuela (Bolivarian Republic of),2008,October,4
Spain,Venezuela (Bolivarian Republic of),2008,November,6
Spain,Venezuela (Bolivarian Republic of),2008,December,2
Sweden,Venezuela (Bolivarian Republic of),2008,February,2
Sweden,Venezuela (Bolivarian Republic of),2008,May,1
Sweden,Venezuela (Bolivarian Republic of),2008,June,1
Sweden,Venezuela (Bolivarian Republic of),2008,July,2
Sweden,Venezuela (Bolivarian Republic of),2008,September,1
Sweden,Venezuela (Bolivarian Republic of),2008,October,1
Sweden,Venezuela (Bolivarian Republic of),2008,December,1
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,January,64
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,February,60
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,March,45
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,April,50
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,May,52
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,June,38
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,July,43
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,August,29
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,September,38
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,October,29
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,November,34
USA (INS/DHS),Venezuela (Bolivarian Republic of),2008,December,24
USA (EOIR),Venezuela (Bolivarian Republic of),2008,January,8
USA (EOIR),Venezuela (Bolivarian Republic of),2008,February,7
USA (EOIR),Venezuela (Bolivarian Republic of),2008,March,4
USA (EOIR),Venezuela (Bolivarian Republic of),2008,April,12
USA (EOIR),Venezuela (Bolivarian Republic of),2008,May,8
USA (EOIR),Venezuela (Bolivarian Republic of),2008,June,11
USA (EOIR),Venezuela (Bolivarian Republic of),2008,July,8
USA (EOIR),Venezuela (Bolivarian Republic of),2008,August,9
USA (EOIR),Venezuela (Bolivarian Republic of),2008,September,9
USA (EOIR),Venezuela (Bolivarian Republic of),2008,October,15
USA (EOIR),Venezuela (Bolivarian Republic of),2008,November,9
USA (EOIR),Venezuela (Bolivarian Republic of),2008,December,5
Australia,Venezuela (Bolivarian Republic of),2009,April,5
Australia,Venezuela (Bolivarian Republic of),2009,June,2
Canada,Venezuela (Bolivarian Republic of),2009,January,17
Canada,Venezuela (Bolivarian Republic of),2009,February,17
Canada,Venezuela (Bolivarian Republic of),2009,March,16
Canada,Venezuela (Bolivarian Republic of),2009,April,7
Canada,Venezuela (Bolivarian Republic of),2009,May,15
Canada,Venezuela (Bolivarian Republic of),2009,June,15
Canada,Venezuela (Bolivarian Republic of),2009,July,9
Canada,Venezuela (Bolivarian Republic of),2009,August,4
Canada,Venezuela (Bolivarian Republic of),2009,September,24
Canada,Venezuela (Bolivarian Republic of),2009,October,20
Canada,Venezuela (Bolivarian Republic of),2009,November,20
Canada,Venezuela (Bolivarian Republic of),2009,December,20
Denmark,Venezuela (Bolivarian Republic of),2009,August,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2009,January,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2009,March,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2009,September,4
Germany,Venezuela (Bolivarian Republic of),2009,February,1
Germany,Venezuela (Bolivarian Republic of),2009,March,1
Germany,Venezuela (Bolivarian Republic of),2009,December,1
Greece,Venezuela (Bolivarian Republic of),2009,April,1
Greece,Venezuela (Bolivarian Republic of),2009,June,1
Netherlands,Venezuela (Bolivarian Republic of),2009,January,1
Netherlands,Venezuela (Bolivarian Republic of),2009,June,2
Netherlands,Venezuela (Bolivarian Republic of),2009,July,1
Netherlands,Venezuela (Bolivarian Republic of),2009,September,1
Netherlands,Venezuela (Bolivarian Republic of),2009,October,1
Norway,Venezuela (Bolivarian Republic of),2009,November,2
Romania,Venezuela (Bolivarian Republic of),2009,March,1
Spain,Venezuela (Bolivarian Republic of),2009,January,2
Spain,Venezuela (Bolivarian Republic of),2009,March,9
Spain,Venezuela (Bolivarian Republic of),2009,June,3
Spain,Venezuela (Bolivarian Republic of),2009,July,1
Spain,Venezuela (Bolivarian Republic of),2009,August,1
Spain,Venezuela (Bolivarian Republic of),2009,September,6
Spain,Venezuela (Bolivarian Republic of),2009,October,2
Spain,Venezuela (Bolivarian Republic of),2009,November,4
Spain,Venezuela (Bolivarian Republic of),2009,December,1
Sweden,Venezuela (Bolivarian Republic of),2009,January,3
Sweden,Venezuela (Bolivarian Republic of),2009,February,1
Sweden,Venezuela (Bolivarian Republic of),2009,March,1
Sweden,Venezuela (Bolivarian Republic of),2009,April,1
Sweden,Venezuela (Bolivarian Republic of),2009,June,2
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,January,14
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,February,32
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,March,24
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,April,25
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,May,29
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,June,26
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,July,23
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,August,22
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,September,29
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,October,22
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,November,30
USA (INS/DHS),Venezuela (Bolivarian Republic of),2009,December,22
USA (EOIR),Venezuela (Bolivarian Republic of),2009,January,12
USA (EOIR),Venezuela (Bolivarian Republic of),2009,February,11
USA (EOIR),Venezuela (Bolivarian Republic of),2009,March,20
USA (EOIR),Venezuela (Bolivarian Republic of),2009,April,15
USA (EOIR),Venezuela (Bolivarian Republic of),2009,May,7
USA (EOIR),Venezuela (Bolivarian Republic of),2009,June,9
USA (EOIR),Venezuela (Bolivarian Republic of),2009,July,6
USA (EOIR),Venezuela (Bolivarian Republic of),2009,August,9
USA (EOIR),Venezuela (Bolivarian Republic of),2009,September,9
USA (EOIR),Venezuela (Bolivarian Republic of),2009,October,6
USA (EOIR),Venezuela (Bolivarian Republic of),2009,November,14
USA (EOIR),Venezuela (Bolivarian Republic of),2009,December,7
Australia,Venezuela (Bolivarian Republic of),2010,May,2
Belgium,Venezuela (Bolivarian Republic of),2010,January,1
Belgium,Venezuela (Bolivarian Republic of),2010,August,1
Belgium,Venezuela (Bolivarian Republic of),2010,November,2
Belgium,Venezuela (Bolivarian Republic of),2010,December,4
Canada,Venezuela (Bolivarian Republic of),2010,January,4
Canada,Venezuela (Bolivarian Republic of),2010,February,7
Canada,Venezuela (Bolivarian Republic of),2010,March,10
Canada,Venezuela (Bolivarian Republic of),2010,April,11
Canada,Venezuela (Bolivarian Republic of),2010,May,2
Canada,Venezuela (Bolivarian Republic of),2010,June,9
Canada,Venezuela (Bolivarian Republic of),2010,July,12
Canada,Venezuela (Bolivarian Republic of),2010,August,21
Canada,Venezuela (Bolivarian Republic of),2010,September,12
Canada,Venezuela (Bolivarian Republic of),2010,October,29
Canada,Venezuela (Bolivarian Republic of),2010,November,26
Canada,Venezuela (Bolivarian Republic of),2010,December,10
Denmark,Venezuela (Bolivarian Republic of),2010,July,5
France,Venezuela (Bolivarian Republic of),2010,January,1
France,Venezuela (Bolivarian Republic of),2010,February,1
France,Venezuela (Bolivarian Republic of),2010,October,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2010,January,4
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2010,February,6
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2010,May,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2010,June,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2010,July,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2010,September,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2010,October,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2010,November,1
Germany,Venezuela (Bolivarian Republic of),2010,April,1
Germany,Venezuela (Bolivarian Republic of),2010,September,1
Greece,Venezuela (Bolivarian Republic of),2010,March,1
Greece,Venezuela (Bolivarian Republic of),2010,November,1
Italy,Venezuela (Bolivarian Republic of),2010,February,3
Italy,Venezuela (Bolivarian Republic of),2010,March,1
Italy,Venezuela (Bolivarian Republic of),2010,April,1
Italy,Venezuela (Bolivarian Republic of),2010,May,4
Italy,Venezuela (Bolivarian Republic of),2010,June,1
Italy,Venezuela (Bolivarian Republic of),2010,July,1
Italy,Venezuela (Bolivarian Republic of),2010,August,1
Luxembourg,Venezuela (Bolivarian Republic of),2010,January,1
Netherlands,Venezuela (Bolivarian Republic of),2010,January,2
Netherlands,Venezuela (Bolivarian Republic of),2010,March,1
Netherlands,Venezuela (Bolivarian Republic of),2010,April,1
Netherlands,Venezuela (Bolivarian Republic of),2010,May,1
Netherlands,Venezuela (Bolivarian Republic of),2010,November,1
Norway,Venezuela (Bolivarian Republic of),2010,April,1
Spain,Venezuela (Bolivarian Republic of),2010,January,1
Spain,Venezuela (Bolivarian Republic of),2010,February,1
Spain,Venezuela (Bolivarian Republic of),2010,March,3
Spain,Venezuela (Bolivarian Republic of),2010,April,5
Spain,Venezuela (Bolivarian Republic of),2010,May,4
Spain,Venezuela (Bolivarian Republic of),2010,August,1
Spain,Venezuela (Bolivarian Republic of),2010,September,1
Spain,Venezuela (Bolivarian Republic of),2010,October,2
Spain,Venezuela (Bolivarian Republic of),2010,November,1
Sweden,Venezuela (Bolivarian Republic of),2010,February,4
Sweden,Venezuela (Bolivarian Republic of),2010,March,1
Sweden,Venezuela (Bolivarian Republic of),2010,June,1
Sweden,Venezuela (Bolivarian Republic of),2010,August,1
Sweden,Venezuela (Bolivarian Republic of),2010,November,1
Sweden,Venezuela (Bolivarian Republic of),2010,December,2
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,January,26
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,February,25
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,March,30
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,April,46
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,May,51
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,June,60
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,July,48
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,August,64
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,September,41
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,October,47
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,November,67
USA (INS/DHS),Venezuela (Bolivarian Republic of),2010,December,61
USA (EOIR),Venezuela (Bolivarian Republic of),2010,January,10
USA (EOIR),Venezuela (Bolivarian Republic of),2010,February,8
USA (EOIR),Venezuela (Bolivarian Republic of),2010,March,13
USA (EOIR),Venezuela (Bolivarian Republic of),2010,April,3
USA (EOIR),Venezuela (Bolivarian Republic of),2010,May,9
USA (EOIR),Venezuela (Bolivarian Republic of),2010,June,18
USA (EOIR),Venezuela (Bolivarian Republic of),2010,July,17
USA (EOIR),Venezuela (Bolivarian Republic of),2010,August,9
USA (EOIR),Venezuela (Bolivarian Republic of),2010,September,6
USA (EOIR),Venezuela (Bolivarian Republic of),2010,October,6
USA (EOIR),Venezuela (Bolivarian Republic of),2010,November,8
USA (EOIR),Venezuela (Bolivarian Republic of),2010,December,13
Australia,Venezuela (Bolivarian Republic of),2011,March,1
Belgium,Venezuela (Bolivarian Republic of),2011,May,1
Belgium,Venezuela (Bolivarian Republic of),2011,June,3
Belgium,Venezuela (Bolivarian Republic of),2011,November,1
Canada,Venezuela (Bolivarian Republic of),2011,January,7
Canada,Venezuela (Bolivarian Republic of),2011,February,12
Canada,Venezuela (Bolivarian Republic of),2011,March,5
Canada,Venezuela (Bolivarian Republic of),2011,April,10
Canada,Venezuela (Bolivarian Republic of),2011,May,13
Canada,Venezuela (Bolivarian Republic of),2011,June,1
Canada,Venezuela (Bolivarian Republic of),2011,July,1
Canada,Venezuela (Bolivarian Republic of),2011,August,13
Canada,Venezuela (Bolivarian Republic of),2011,September,3
Canada,Venezuela (Bolivarian Republic of),2011,October,13
Canada,Venezuela (Bolivarian Republic of),2011,November,18
Canada,Venezuela (Bolivarian Republic of),2011,December,9
Finland,Venezuela (Bolivarian Republic of),2011,May,3
France,Venezuela (Bolivarian Republic of),2011,February,1
France,Venezuela (Bolivarian Republic of),2011,March,1
France,Venezuela (Bolivarian Republic of),2011,April,5
France,Venezuela (Bolivarian Republic of),2011,June,4
France,Venezuela (Bolivarian Republic of),2011,August,1
France,Venezuela (Bolivarian Republic of),2011,September,2
France,Venezuela (Bolivarian Republic of),2011,November,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2011,August,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2011,September,4
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2011,October,6
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2011,November,3
Germany,Venezuela (Bolivarian Republic of),2011,May,1
Germany,Venezuela (Bolivarian Republic of),2011,August,1
Ireland,Venezuela (Bolivarian Republic of),2011,July,1
Italy,Venezuela (Bolivarian Republic of),2011,March,3
Italy,Venezuela (Bolivarian Republic of),2011,July,1
Italy,Venezuela (Bolivarian Republic of),2011,November,1
Italy,Venezuela (Bolivarian Republic of),2011,December,4
Spain,Venezuela (Bolivarian Republic of),2011,January,6
Spain,Venezuela (Bolivarian Republic of),2011,February,11
Spain,Venezuela (Bolivarian Republic of),2011,March,4
Spain,Venezuela (Bolivarian Republic of),2011,April,3
Spain,Venezuela (Bolivarian Republic of),2011,May,1
Spain,Venezuela (Bolivarian Republic of),2011,June,1
Spain,Venezuela (Bolivarian Republic of),2011,July,4
Spain,Venezuela (Bolivarian Republic of),2011,August,2
Spain,Venezuela (Bolivarian Republic of),2011,September,3
Spain,Venezuela (Bolivarian Republic of),2011,October,8
Spain,Venezuela (Bolivarian Republic of),2011,November,5
Spain,Venezuela (Bolivarian Republic of),2011,December,4
Sweden,Venezuela (Bolivarian Republic of),2011,January,1
Sweden,Venezuela (Bolivarian Republic of),2011,June,2
Sweden,Venezuela (Bolivarian Republic of),2011,August,1
Sweden,Venezuela (Bolivarian Republic of),2011,November,1
Switzerland,Venezuela (Bolivarian Republic of),2011,December,2
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,January,48
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,February,41
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,March,66
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,April,43
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,May,54
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,June,68
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,July,48
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,August,71
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,September,49
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,October,47
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,November,52
USA (INS/DHS),Venezuela (Bolivarian Republic of),2011,December,50
USA (EOIR),Venezuela (Bolivarian Republic of),2011,January,15
USA (EOIR),Venezuela (Bolivarian Republic of),2011,February,13
USA (EOIR),Venezuela (Bolivarian Republic of),2011,March,16
USA (EOIR),Venezuela (Bolivarian Republic of),2011,April,8
USA (EOIR),Venezuela (Bolivarian Republic of),2011,May,14
USA (EOIR),Venezuela (Bolivarian Republic of),2011,June,7
USA (EOIR),Venezuela (Bolivarian Republic of),2011,July,6
USA (EOIR),Venezuela (Bolivarian Republic of),2011,August,11
USA (EOIR),Venezuela (Bolivarian Republic of),2011,September,9
USA (EOIR),Venezuela (Bolivarian Republic of),2011,October,12
USA (EOIR),Venezuela (Bolivarian Republic of),2011,November,5
USA (EOIR),Venezuela (Bolivarian Republic of),2011,December,4
Australia,Venezuela (Bolivarian Republic of),2012,July,1
Canada,Venezuela (Bolivarian Republic of),2012,January,6
Canada,Venezuela (Bolivarian Republic of),2012,February,9
Canada,Venezuela (Bolivarian Republic of),2012,March,10
Canada,Venezuela (Bolivarian Republic of),2012,April,5
Canada,Venezuela (Bolivarian Republic of),2012,May,10
Canada,Venezuela (Bolivarian Republic of),2012,June,9
Canada,Venezuela (Bolivarian Republic of),2012,July,10
Canada,Venezuela (Bolivarian Republic of),2012,August,11
Canada,Venezuela (Bolivarian Republic of),2012,September,12
Canada,Venezuela (Bolivarian Republic of),2012,October,10
Canada,Venezuela (Bolivarian Republic of),2012,November,6
Canada,Venezuela (Bolivarian Republic of),2012,December,8
Denmark,Venezuela (Bolivarian Republic of),2012,March,5
Finland,Venezuela (Bolivarian Republic of),2012,May,1
Finland,Venezuela (Bolivarian Republic of),2012,August,1
France,Venezuela (Bolivarian Republic of),2012,February,2
France,Venezuela (Bolivarian Republic of),2012,June,3
France,Venezuela (Bolivarian Republic of),2012,August,3
France,Venezuela (Bolivarian Republic of),2012,September,1
France,Venezuela (Bolivarian Republic of),2012,December,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2012,May,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2012,August,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2012,October,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2012,December,1
Germany,Venezuela (Bolivarian Republic of),2012,February,1
Germany,Venezuela (Bolivarian Republic of),2012,July,1
Germany,Venezuela (Bolivarian Republic of),2012,December,1
Italy,Venezuela (Bolivarian Republic of),2012,May,1
Italy,Venezuela (Bolivarian Republic of),2012,August,3
Italy,Venezuela (Bolivarian Republic of),2012,September,5
Italy,Venezuela (Bolivarian Republic of),2012,November,1
Romania,Venezuela (Bolivarian Republic of),2012,August,1
Spain,Venezuela (Bolivarian Republic of),2012,January,2
Spain,Venezuela (Bolivarian Republic of),2012,March,2
Spain,Venezuela (Bolivarian Republic of),2012,April,5
Spain,Venezuela (Bolivarian Republic of),2012,May,1
Spain,Venezuela (Bolivarian Republic of),2012,June,1
Spain,Venezuela (Bolivarian Republic of),2012,July,1
Spain,Venezuela (Bolivarian Republic of),2012,August,1
Spain,Venezuela (Bolivarian Republic of),2012,September,3
Spain,Venezuela (Bolivarian Republic of),2012,October,2
Spain,Venezuela (Bolivarian Republic of),2012,November,8
Spain,Venezuela (Bolivarian Republic of),2012,December,2
Sweden,Venezuela (Bolivarian Republic of),2012,April,1
Sweden,Venezuela (Bolivarian Republic of),2012,October,4
Sweden,Venezuela (Bolivarian Republic of),2012,November,1
Sweden,Venezuela (Bolivarian Republic of),2012,December,6
Switzerland,Venezuela (Bolivarian Republic of),2012,January,1
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,January,49
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,February,35
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,March,52
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,April,61
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,May,54
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,June,42
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,July,49
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,August,50
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,September,49
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,October,74
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,November,53
USA (INS/DHS),Venezuela (Bolivarian Republic of),2012,December,44
USA (EOIR),Venezuela (Bolivarian Republic of),2012,January,10
USA (EOIR),Venezuela (Bolivarian Republic of),2012,February,9
USA (EOIR),Venezuela (Bolivarian Republic of),2012,March,6
USA (EOIR),Venezuela (Bolivarian Republic of),2012,April,14
USA (EOIR),Venezuela (Bolivarian Republic of),2012,May,10
USA (EOIR),Venezuela (Bolivarian Republic of),2012,June,10
USA (EOIR),Venezuela (Bolivarian Republic of),2012,July,8
USA (EOIR),Venezuela (Bolivarian Republic of),2012,August,5
USA (EOIR),Venezuela (Bolivarian Republic of),2012,September,10
USA (EOIR),Venezuela (Bolivarian Republic of),2012,October,4
USA (EOIR),Venezuela (Bolivarian Republic of),2012,November,6
USA (EOIR),Venezuela (Bolivarian Republic of),2012,December,12
Australia,Venezuela (Bolivarian Republic of),2013,May,3
Austria,Venezuela (Bolivarian Republic of),2013,February,1
Belgium,Venezuela (Bolivarian Republic of),2013,April,1
Belgium,Venezuela (Bolivarian Republic of),2013,May,1
Bulgaria,Venezuela (Bolivarian Republic of),2013,January,1
Canada,Venezuela (Bolivarian Republic of),2013,March,3
Canada,Venezuela (Bolivarian Republic of),2013,April,2
Canada,Venezuela (Bolivarian Republic of),2013,June,1
Canada,Venezuela (Bolivarian Republic of),2013,August,1
Canada,Venezuela (Bolivarian Republic of),2013,September,4
Canada,Venezuela (Bolivarian Republic of),2013,October,7
Canada,Venezuela (Bolivarian Republic of),2013,November,4
Canada,Venezuela (Bolivarian Republic of),2013,December,5
France,Venezuela (Bolivarian Republic of),2013,March,2
France,Venezuela (Bolivarian Republic of),2013,April,1
France,Venezuela (Bolivarian Republic of),2013,July,2
France,Venezuela (Bolivarian Republic of),2013,August,1
France,Venezuela (Bolivarian Republic of),2013,October,1
France,Venezuela (Bolivarian Republic of),2013,December,5
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2013,April,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2013,August,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2013,October,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2013,November,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2013,December,3
Germany,Venezuela (Bolivarian Republic of),2013,April,1
Germany,Venezuela (Bolivarian Republic of),2013,May,2
Germany,Venezuela (Bolivarian Republic of),2013,October,1
